ID,subsystem
R_5HOXINDACTtp,"Transport, peroxisomal"
R_APROAtr,"Transport, endoplasmic reticular"
R_APROAtm,"Transport, mitochondrial"
R_APROAtp,"Transport, peroxisomal"
R_C05729tec,"Transport, extracellular"
R_BUTACPtm,"Transport, mitochondrial"
R_HEXACPtm,"Transport, mitochondrial"
R_N4ABUTNtr,"Transport, endoplasmic reticular"
R_N4ABUTNtm,"Transport, mitochondrial"
R_N4ABUTNtp,"Transport, peroxisomal"
R_E4HGLUtpc,"Transport, peroxisomal"
R_MMTSAtr,"Transport, endoplasmic reticular"
R_C07645tr,"Transport, endoplasmic reticular"
R_C07645tp,"Transport, peroxisomal"
R_C13747tp,"Transport, peroxisomal"
R_1R2SONPTHLtp,"Transport, peroxisomal"
R_1S2RONPTHLtp,"Transport, peroxisomal"
R_C14800tp,"Transport, peroxisomal"
R_C14802tp,"Transport, peroxisomal"
R_C14839tp,"Transport, peroxisomal"
R_C14839trc,"Transport, endoplasmic reticular"
R_C14840tp,"Transport, peroxisomal"
R_C14840trc,"Transport, endoplasmic reticular"
R_C17023tm,"Transport, mitochondrial"
R_TREHe,Starch and sucrose metabolism
R_PDHam1m,Pyruvate metabolism
R_AHEXASE3l,Aminosugar metabolism
R_MALTe,Starch and sucrose metabolism
R_MALTl,Starch and sucrose metabolism
R_TYRDOPO,Tyrosine metabolism
R_BCDO,Vitamin A metabolism
R_PPBNGS,Heme synthesis
R_R220_r,Eicosanoid metabolism
R_FERO,Vitamin B2 metabolism
R_FEROe,Vitamin B2 metabolism
R_HMBS,Heme synthesis
R_ATPPPHe,Nucleotide interconversion
R_ATPPPHl,Nucleotide interconversion
R_NaKt,"Transport, extracellular"
R_R227_cl,"Transport, lysosomal"
R_ASO3t8r,"Transport, endoplasmic reticular"
R_R230_ce,"Transport, extracellular"
R_R231_mc,"Transport, mitochondrial"
R_R232_ce,"Transport, extracellular"
R_R233_n,Nucleotide interconversion
R_Cut1g,"Transport, golgi apparatus"
R_CAATPSr,"Transport, endoplasmic reticular"
R_CAATPS,"Transport, extracellular"
R_R237_c,Nucleotide interconversion
R_ADNCYC,Nucleotide interconversion
R_R240_c,Miscellaneous
R_R241_c,Miscellaneous
R_R242_r,Miscellaneous
R_R243_m,Miscellaneous
R_R244_e,NAD metabolism
R_R245_p,NAD metabolism
R_NADK,NAD metabolism
R_NOS2,Arginine and Proline Metabolism
R_NOS2rm,Arginine and Proline Metabolism
R_R249_mc,NAD metabolism
R_GTHOm,Glutamate metabolism
R_ATPH2e,Nucleotide interconversion
R_ADK1,Nucleotide interconversion
R_ADK1m,Nucleotide interconversion
R_ADK1i,Nucleotide interconversion
R_ADK1n,Nucleotide interconversion
R_DPCOAK,CoA synthesis
R_H2CO3D,Miscellaneous
R_H2CO3De,Miscellaneous
R_H2CO3Dm,Miscellaneous
R_NMNATrg,NAD metabolism
R_NMNATr,NAD metabolism
R_NMNATrm,NAD metabolism
R_NMNATrn,NAD metabolism
R_R268_m,Glutamate metabolism
R_NDP7er,Nucleotide interconversion
R_NDP7ex,Nucleotide interconversion
R_NDP7l,Nucleotide interconversion
R_NDPK2,Nucleotide interconversion
R_NDPK2nm,Nucleotide interconversion
R_NDPK2m,Nucleotide interconversion
R_NDPK2mim,Nucleotide interconversion
R_R276_m,Nucleotide interconversion
R_UMPK,Nucleotide interconversion
R_UMPKm,Nucleotide interconversion
R_NDP8ex,Nucleotide interconversion
R_FADDPle,Vitamin B2 metabolism
R_FADDP,Vitamin B2 metabolism
R_PYDXPP,Vitamin B6 metabolism
R_PYDXK,Vitamin B6 metabolism
R_METAT,Methionine and cysteine metabolism
R_ADMDC,Arginine and Proline Metabolism
R_AMPDA,Nucleotide interconversion
R_NTD7,Nucleotide interconversion
R_NTD7e,Nucleotide interconversion
R_AP4AH1m,Nucleotide interconversion
R_ADNK1,Nucleotide interconversion
R_ADNK1n,Nucleotide interconversion
R_BTP,Purine catabolism
R_NADS1,NAD metabolism
R_ADPT,Nucleotide salvage pathway
R_PDE1,Nucleotide interconversion
R_AHC,Methionine and cysteine metabolism
R_L_LACDm,Pyruvate metabolism
R_D_LACDm,Pyruvate metabolism
R_PYK,Glycolysis/gluconeogenesis
R_PDHm,Glycolysis/gluconeogenesis
R_ME1m,Pyruvate metabolism
R_ME2,Pyruvate metabolism
R_ME2m,Pyruvate metabolism
R_OAADC,Miscellaneous
R_OAADCm,Pyruvate metabolism
R_ACSp,Glycolysis/gluconeogenesis
R_MCD,Fatty acid oxidation
R_MCDm,Fatty acid oxidation
R_MCDp,Fatty acid oxidation
R_ACS,Glycolysis/gluconeogenesis
R_ACSm,Glycolysis/gluconeogenesis
R_r0068,Miscellaneous
R_R315_m,Miscellaneous
R_ACACT1r,Tryptophan metabolism
R_GLU5Km,Urea cycle
R_GLUDxm,Glutamate metabolism
R_r0074,Urea cycle
R_GLUDym,Glutamate metabolism
R_GLNS,Glutamate metabolism
R_GLUN,Glutamate metabolism
R_GLUNm,Glutamate metabolism
R_NADS2,NAD metabolism
R_ALATA_L,Glutamate metabolism
R_ALATA_Lm,Glutamate metabolism
R_ACGSm,Urea cycle
R_GLUDC,Glutamate metabolism
R_R329_c,Miscellaneous
R_R330_r,Miscellaneous
R_R331_m,Miscellaneous
R_R332_p,Miscellaneous
R_ICDHy,Citric acid cycle
R_ICDHyrm,Citric acid cycle
R_ICDHyp,Citric acid cycle
R_R336_c,Miscellaneous
R_R337_m,Miscellaneous
R_R338_p,Miscellaneous
R_R339_c,Urea cycle
R_GTHP,Glutathione metabolism
R_GTHPr,Glutathione metabolism
R_GTHPe,Glutathione metabolism
R_PYAM5POr,Vitamin B6 metabolism
R_PDX5PO,Vitamin B6 metabolism
R_UDPGD,Starch and sucrose metabolism
R_UDPGP,Starch and sucrose metabolism
R_UDPGPe,Starch and sucrose metabolism
R_GALU,Galactose metabolism
R_UDPG4E,Galactose metabolism
R_HEX1,Glycolysis/gluconeogenesis
R_FLCTm,Heme synthesis
R_R353_c,Miscellaneous
R_R354_m,Miscellaneous
R_ACYP_2,Pyruvate metabolism
R_NDP3r,Nucleotide interconversion
R_NDP3ex,Nucleotide interconversion
R_NDP3l,Nucleotide interconversion
R_NDPK1,Nucleotide interconversion
R_NDPK1nm,Nucleotide interconversion
R_NDPK1m,Nucleotide interconversion
R_NDPK1mim,Nucleotide interconversion
R_GK1,Nucleotide interconversion
R_NTP3mom,Nucleotide interconversion
R_NTP3xm,Nucleotide interconversion
R_NTP3pm,Nucleotide interconversion
R_NTP3e,Nucleotide interconversion
R_MDH,Citric acid cycle
R_MDHm,Citric acid cycle
R_PCm,Pyruvate metabolism
R_OXOSUCAH,Alanine and aspartate metabolism
R_CSm,Citric acid cycle
R_ACITL,Citric acid cycle
R_ASPTA,Alanine and aspartate metabolism
R_ASPTAm,Alanine and aspartate metabolism
R_LASPO1m,Alanine and aspartate metabolism
R_DASPO1p,Alanine and aspartate metabolism
R_GLYOp,"Glycine, serine, alanine and threonine metabolism"
R_GNMT,"Glycine, serine, alanine and threonine metabolism"
R_AGTm,Alanine and aspartate metabolism
R_AGTx,Alanine and aspartate metabolism
R_GLYATm,"Glycine, serine, alanine and threonine metabolism"
R_GLYTAm,"Glycine, serine, alanine and threonine metabolism"
R_GLYTAp,"Glycine, serine, alanine and threonine metabolism"
R_KATm,Fatty acid oxidation
R_KATmim,Fatty acid oxidation
R_KATp,Fatty acid oxidation
R_SUCOASm,Citric acid cycle
R_SUCD1m,Citric acid cycle
R_OCOAT1m,"Valine, leucine, and isoleucine metabolism"
R_UAG2EMAi,Aminosugar metabolism
R_UAGDP,Aminosugar metabolism
R_R399_c,Purine catabolism
R_R400_c,Tetrahydrobiopterin metabolism
R_PYK3,Glycolysis/gluconeogenesis
R_PEPCK,Glycolysis/gluconeogenesis
R_PEPCKm,Glycolysis/gluconeogenesis
R_SUCOAS1m,Citric acid cycle
R_GUACYC,Nucleotide interconversion
R_GLYCLTDyp,Glyoxylate and dicarboxylate metabolism
R_GLYCTO1p,Glyoxylate and dicarboxylate metabolism
R_ASNS2,Alanine and aspartate metabolism
R_ASNN,Alanine and aspartate metabolism
R_NACASPAH,Alanine and aspartate metabolism
R_ASP1DC,beta-Alanine metabolism
R_R413_e,Glutathione metabolism
R_GTHS,Glutathione metabolism
R_UGALGTg,Galactose metabolism
R_PAPSSHe,Miscellaneous
R_BPNT2,Nucleotide interconversion
R_ADSK,Nucleotide interconversion
R_NTD4,Pyrimidine catabolism
R_NTD4e,Nucleotide interconversion
R_CYTK1,Nucleotide interconversion
R_CYTK1m,Nucleotide interconversion
R_CYTDK1,Nucleotide interconversion
R_R424_e,Pyrimidine catabolism
R_UTCY,Pyrimidine catabolism
R_CYTDK2GTP,Nucleotide interconversion
R_R427_c,Miscellaneous
R_SADT,Nucleotide interconversion
R_ACP1_FMN_,Vitamin B2 metabolism
R_ACP1_FMN_e,Vitamin B2 metabolism
R_ACP1_FMN_l,Vitamin B2 metabolism
R_RBFK,Vitamin B2 metabolism
R_ARGN,Urea cycle
R_ARGNm,Urea cycle
R_NOS,Arginine and Proline Metabolism
R_NOSrm,Arginine and Proline Metabolism
R_NOS1,Arginine and Proline Metabolism
R_NOS1rm,Arginine and Proline Metabolism
R_GLYAMDTRi,Urea cycle
R_R443_e,Pyrimidine catabolism
R_NDPK3,Nucleotide interconversion
R_NDPK3nm,Nucleotide interconversion
R_NDPK3m,Nucleotide interconversion
R_NDPK3mim,Nucleotide interconversion
R_CTPS1,Nucleotide interconversion
R_CTPS2,Pyrimidine synthesis
R_CBPS,Pyrimidine synthesis
R_ASNS1,Alanine and aspartate metabolism
R_PSP_L,"Glycine, serine, alanine and threonine metabolism"
R_SPTx,"Glycine, serine, alanine and threonine metabolism"
R_SGATm,"Glycine, serine, alanine and threonine metabolism"
R_PRDX,Miscellaneous
R_PRDXp,Miscellaneous
R_ALCD1,Miscellaneous
R_SARCOX,"Glycine, serine, alanine and threonine metabolism"
R_SARDHm,Urea cycle
R_TDPn,Thiamine metabolism
R_TMDPPK,Thiamine metabolism
R_TMDPPKm,Thiamine metabolism
R_THMTP,Thiamine metabolism
R_TMDPK,Thiamine metabolism
R_R466_m,Citric acid cycle
R_R467_c,Fatty acid oxidation
R_R468_c,Fatty acid oxidation
R_R469_r,Fatty acid oxidation
R_R470_m,Fatty acid oxidation
R_R471_p,Fatty acid oxidation
R_R472_m,Methionine and cysteine metabolism
R_HCYSMT,Alanine and aspartate metabolism
R_ENO,Glycolysis/gluconeogenesis
R_R475_c,Pyrimidine catabolism
R_ORNTAm,Urea cycle
R_ACODA,Urea cycle
R_ORNDC,Urea cycle
R_R479_c,Tryptophan metabolism
R_TRPO2,Tryptophan metabolism
R_LTDCL,Tryptophan metabolism
R_PHEOXm,Phenylalanine metabolism
R_PHETA1,Phenylalanine metabolism
R_PHETA1m,Phenylalanine metabolism
R_R488_c,Phenylalanine metabolism
R_PHYCBOXL,Phenylalanine metabolism
R_PSPPS,Steroid metabolism
R_LDH_L,Glycolysis/gluconeogenesis
R_MMSAD3m,Propanoate metabolism
R_R493_m,Propanoate metabolism
R_P5CDm,Glutamate metabolism
R_R495_m,Glutamate metabolism
R_ICDHxm,Citric acid cycle
R_ALDD2x,Glycolysis/gluconeogenesis
R_ALDD2x2,Glycolysis/gluconeogenesis
R_ALDD2xm,Glycolysis/gluconeogenesis
R_ALDD2xp,Glycolysis/gluconeogenesis
R_ALDD2y,Glycolysis/gluconeogenesis
R_ALDD2yr,Glycolysis/gluconeogenesis
R_ALDD2ym,Glycolysis/gluconeogenesis
R_ALDD2yp,Glycolysis/gluconeogenesis
R_SSALxm,Glutamate metabolism
R_SACCD3m,Lysine metabolism
R_GLYCLTDxp,Glyoxylate and dicarboxylate metabolism
R_R510_e,Purine catabolism
R_NTPP9,Nucleotide interconversion
R_NDPK9,Nucleotide interconversion
R_NDPK9nm,Nucleotide interconversion
R_NDPK9m,Nucleotide interconversion
R_NDPK9mim,Nucleotide interconversion
R_OAACLi,Glycolysis/gluconeogenesis
R_OAACLim,Glycolysis/gluconeogenesis
R_SUCOAS,Citric acid cycle
R_TYROX,Tyrosine metabolism
R_TYRTA,Tyrosine metabolism
R_TYRTAm,Tyrosine metabolism
R_TYRCBOX,Tyrosine metabolism
R_MMSAD5m,Propanoate metabolism
R_ALCD2y,Glycolysis/gluconeogenesis
R_THRA,"Glycine, serine, alanine and threonine metabolism"
R_ALCD2if,Glycolysis/gluconeogenesis
R_FBP,Glycolysis/gluconeogenesis
R_G6PDA,Aminosugar metabolism
R_GF6PTA,Aminosugar metabolism
R_CYSDS,Methionine and cysteine metabolism
R_SUCRe,Galactose metabolism
R_SUCRl,Galactose metabolism
R_SAGHe,Starch and sucrose metabolism
R_SAGHl,Starch and sucrose metabolism
R_ALASm,"Glycine, serine, alanine and threonine metabolism"
R_MMMm,"Valine, leucine, and isoleucine metabolism"
R_G3PD1,Glycerophospholipid metabolism
R_GLYK,Glycerophospholipid metabolism
R_G3PDm,Oxidative phosphorylation
R_G3PATrm,Glycerophospholipid metabolism
R_G3PATmom,Glycerophospholipid metabolism
R_R544_c,Glycerophospholipid metabolism
R_KHK,Fructose and mannose metabolism
R_HEX7B,Fructose and mannose metabolism
R_F2PP,Fructose and mannose metabolism
R_SBTD_D2l,Fructose and mannose metabolism
R_MAN1PT2,Fructose and mannose metabolism
R_MAN1PT,Fructose and mannose metabolism
R_GMAND,Fructose and mannose metabolism
R_CYSTS2,"Glycine, serine, alanine and threonine metabolism"
R_CYSO,Taurine and hypotaurine metabolism
R_GLUCYS,Glutathione metabolism
R_CYSTA,Methionine and cysteine metabolism
R_CYSTAm,Methionine and cysteine metabolism
R_AMPTASECG,Glutathione metabolism
R_AMPTASECGe,Glutathione metabolism
R_ALDD22x,beta-Alanine metabolism
R_ALDD22xr,beta-Alanine metabolism
R_ALDD22xm,beta-Alanine metabolism
R_ALDD22xp,beta-Alanine metabolism
R_UPPN,Pyrimidine catabolism
R_APAT2rm,beta-Alanine metabolism
R_PPCOAOm,Propanoate metabolism
R_PACPT,Propanoate metabolism
R_PACPTm,Propanoate metabolism
R_MACCOAT,"Valine, leucine, and isoleucine metabolism"
R_MACCOATm,"Valine, leucine, and isoleucine metabolism"
R_MACCOATmim,"Valine, leucine, and isoleucine metabolism"
R_MACCOATp,"Valine, leucine, and isoleucine metabolism"
R_MMTSAOm,"Valine, leucine, and isoleucine metabolism"
R_DHFR2,Folate metabolism
R_THFOR1,Folate metabolism
R_DHFR,Folate metabolism
R_THFOR2,Folate metabolism
R_FTHFDHm,Folate metabolism
R_FPGS_tm,Folate metabolism
R_FPGS_tmm,Folate metabolism
R_FTHFL,Folate metabolism
R_FTHFLm,Folate metabolism
R_GHMT2r,"Glycine, serine, alanine and threonine metabolism"
R_GHMT2rm,"Glycine, serine, alanine and threonine metabolism"
R_METS,Methionine and cysteine metabolism
R_UGLT,Galactose metabolism
R_PGMT,Glycolysis/gluconeogenesis
R_NDP10r,Nucleotide interconversion
R_NDP10ex,Nucleotide interconversion
R_NDP10l,Nucleotide interconversion
R_CYTDK3,Nucleotide interconversion
R_NTD2,Pyrimidine catabolism
R_NTD2e,Nucleotide interconversion
R_URIK1,Pyrimidine synthesis
R_OMPDC,Pyrimidine synthesis
R_UPPRT,Nucleotide salvage pathway
R_UPPRTn,Nucleotide salvage pathway
R_URIK4,Pyrimidine synthesis
R_URIK2,Pyrimidine synthesis
R_UP4GHm,Nucleotide interconversion
R_URIK3,Pyrimidine synthesis
R_DURAD,Pyrimidine catabolism
R_KYN,Tryptophan metabolism
R_R607_c,Tryptophan metabolism
R_2HBO,Propanoate metabolism
R_CYSTGL,Methionine and cysteine metabolism
R_DOLPGT3er,N-glycan synthesis
R_DOLPGT3,N-glycan synthesis
R_UDPDOLPTer,N-glycan synthesis
R_DOLGPP,N-glycan synthesis
R_DOLPMT3,N-glycan synthesis
R_DOLPMT3er,N-glycan synthesis
R_DHAK,Glycerophospholipid metabolism
R_DHAPAp,Triacylglycerol synthesis
R_TPI,Glycolysis/gluconeogenesis
R_DOLKr,N-glycan synthesis
R_CHOLK,Glycerophospholipid metabolism
R_CHATn,Glycerophospholipid metabolism
R_CHOLD2m,"Glycine, serine, alanine and threonine metabolism"
R_ACHEe,Glycerophospholipid metabolism
R_ALCD19,Glycerophospholipid metabolism
R_ALCD19y,Glycerophospholipid metabolism
R_ALCD19ypm,Glycerophospholipid metabolism
R_PRPPS,Pentose phosphate pathway
R_RBK,Pentose phosphate pathway
R_ADPRDP,Nucleotide interconversion
R_ADPRDPm,Nucleotide interconversion
R_RPI,Pentose phosphate pathway
R_PPM,Pentose phosphate pathway
R_GAPD,Glycolysis/gluconeogenesis
R_DRPAr,Pentose phosphate pathway
R_TKT2,Pentose phosphate pathway
R_FBA,Glycolysis/gluconeogenesis
R_FBAe,Glycolysis/gluconeogenesis
R_FBAB,Glycolysis/gluconeogenesis
R_FBABe,Glycolysis/gluconeogenesis
R_GLUPRT,Purine synthesis
R_BACCLn,Biotin metabolism
R_BTND1,Biotin metabolism
R_BTND1e,Biotin metabolism
R_BTND1m,Biotin metabolism
R_BTND1n,Biotin metabolism
R_FUM,Citric acid cycle
R_FUMm,Citric acid cycle
R_ADSL1r,Nucleotide interconversion
R_ARGSL,Alanine and aspartate metabolism
R_LEUTA,"Valine, leucine, and isoleucine metabolism"
R_LEUTAm,"Valine, leucine, and isoleucine metabolism"
R_GALK,Galactose metabolism
R_GALORx,Galactose metabolism
R_GALOR,Galactose metabolism
R_GALS3,Galactose metabolism
R_RAFGH,Galactose metabolism
R_GGLGHl,Galactose metabolism
R_R660_c,Aminosugar metabolism
R_CMPSASn,Aminosugar metabolism
R_DPMVDp,Cholesterol metabolism
R_R663_m,Miscellaneous
R_IPDDIp,Cholesterol metabolism
R_NTD11,Purine catabolism
R_NTD11e,Purine catabolism
R_IMPC,Purine synthesis
R_IMPD,Nucleotide interconversion
R_HXPRT,Nucleotide salvage pathway
R_GMPR,Nucleotide interconversion
R_ADSS,Nucleotide interconversion
R_NDPK8,Nucleotide interconversion
R_NDPK8nm,Nucleotide interconversion
R_NDPK8m,Nucleotide interconversion
R_NDPK8mim,Nucleotide interconversion
R_DAPOP,Glycolysis/gluconeogenesis
R_PTRCOX1e,Arginine and Proline Metabolism
R_PTRCAT1,Arginine and Proline Metabolism
R_AGMTm,Arginine and Proline Metabolism
R_ARMT,Histidine metabolism
R_ARMTm,Histidine metabolism
R_HISDC,Histidine metabolism
R_HISD,Histidine metabolism
R_ACOAD1m,Butanoate metabolism
R_ACOAD1fm,Butanoate metabolism
R_ACOAD1fp,Butanoate metabolism
R_FACOAL40m,Fatty acid oxidation
R_ACACT2r,Fatty acid oxidation
R_ACACT2rm,Fatty acid oxidation
R_ACACT2rmim,Fatty acid oxidation
R_ACACT2rp,Fatty acid oxidation
R_INOSTO,Inositol phosphate metabolism
R_MI1PPg,Inositol phosphate metabolism
R_MI1PP,Inositol phosphate metabolism
R_MI4PPg,Inositol phosphate metabolism
R_MI4PP,Inositol phosphate metabolism
R_MI3PPg,Inositol phosphate metabolism
R_MI3PP,Inositol phosphate metabolism
R_GALIGHl,Galactose metabolism
